model,score
gemini-2.5-pro,0.7862438865419777
o3-2025-04-16,0.7173922224024706
gemini-2.5-pro-preview-03-25,0.7025436673429957
grok-4-0709,0.6489286208387008
chatgpt-4o-latest-20250326,0.6112020398602185
gemini-2.5-pro-preview-05-06,0.5369604221476836
deepseek-r1-0528,0.4510516122760752
grok-3-preview-02-24,0.3639441934359931
gemini-2.5-flash,0.3462975623730231
kimi-k2-0711-preview,0.32591314882565636
o4-mini-2025-04-16,0.32068616215840573
gpt-4.1-2025-04-14,0.26349955066999053
qwen3-235b-a22b-no-thinking,0.25860635142786165
gemini-2.5-flash-preview-04-17,0.24728044353931405
claude-opus-4-20250514,0.21800235096341442
deepseek-v3-0324,0.19646304872522535
llama-4-maverick-03-26-experimental,0.19581569964838658
claude-opus-4-20250514-thinking-16k,0.19052454286194642
hunyuan-turbos-20250416,0.18794382843669416
mistral-medium-2505,0.12093689587374236
qwen3-235b-a22b,0.11480840143395683
gemini-2.5-flash-lite-preview-06-17-thinking,0.1026925977997216
qwen-max-2025-01-25,0.1008039730522884
claude-sonnet-4-20250514-thinking-32k,0.0699539450379451
gemma-3-27b-it,0.0434974124138366
minimax-m1,0.038328533267666096
grok-3-mini-beta,0.010666872000583846
grok-3-mini-high,-0.009151240051236104
claude-sonnet-4-20250514,-0.015274559385717298
gemini-2.0-flash-thinking-exp-01-21,-0.018400969255482208
gpt-4.1-mini-2025-04-14,-0.03825116961833737
qwq-32b,-0.08813354245099429
gpt-4o-2024-11-20,-0.09674472134370503
qwen3-235b-a22b-instruct-2507,-0.10838825508371906
gemini-2.0-flash-001,-0.14576478391238795
mistral-small-2506,-0.20886357823028495
command-a-03-2025,-0.22345158186135078
claude-3-5-sonnet-20241022,-0.272062536336723
claude-3-7-sonnet-20250219-thinking-32k,-0.2750244644606908
o3-mini,-0.2838685615932627
claude-3-7-sonnet-20250219,-0.3173990351002391
qwen3-30b-a3b,-0.3401168345363376
llama-4-maverick-17b-128e-instruct,-0.35580955395804975
gemma-3n-e4b-it,-0.38261491737544334
llama-4-scout-17b-16e-instruct,-0.41969417739990456
amazon-nova-experimental-chat-05-14,-0.4245075004843286
llama-3.3-70b-instruct,-0.5722847934909755
claude-3-5-haiku-20241022,-0.6273107875550075
amazon.nova-pro-v1:0,-0.6494448786075552
magistral-medium-2506,-0.650997875355707
mistral-small-3.1-24b-instruct-2503,-0.7252410969525702
gpt-4o-mini-2024-07-18,-0.922186570955764
