model,baseline_rank,baseline_score,formatting_augmented_rank,formatting_augmented_score,rank_change
gemini-2.5-pro,1,0.9602601889999832,1,0.8184291903315593,0
gemini-2.5-pro-preview-03-25,2,0.7886324863735271,2,0.6733903863942478,0
grok-4-0709,3,0.734513737039375,5,0.6263642821764035,-2
chatgpt-4o-latest-20250326,4,0.6428597718797254,4,0.6440786978242277,0
gemini-2.5-pro-preview-05-06,5,0.6196789779958336,7,0.489702774537058,-2
deepseek-r1-0528,6,0.6046882839198497,6,0.4962309612234806,0
o3-2025-04-16,7,0.6030293228534169,3,0.6729987768696631,4
grok-3-preview-02-24,8,0.5659135431059482,8,0.4084352333247044,0
llama-4-maverick-03-26-experimental,9,0.5344734127070855,10,0.3314965424259292,-1
gemini-2.5-flash,10,0.4925223437918262,9,0.3383195955472907,1
qwen3-235b-a22b-no-thinking,11,0.3305499481549461,12,0.3117802637672574,-1
gemini-2.5-flash-preview-04-17,12,0.2814656760693455,18,0.1804729895896934,-6
hunyuan-turbos-20250416,13,0.2673923402484499,15,0.2357286573634408,-2
gpt-4.1-2025-04-14,14,0.2433325366953804,13,0.2839805193311889,1
deepseek-v3-0324,15,0.2273128907055566,16,0.2311099817213553,-1
kimi-k2-0711-preview,16,0.2253622529546908,11,0.3240878107570026,5
qwen3-235b-a22b,17,0.2175035828004256,17,0.184477997308447,0
qwen-max-2025-01-25,18,0.1989442809865549,21,0.1538015708116581,-3
mistral-medium-2505,19,0.1860283924088196,19,0.1677967737793653,0
gemini-2.0-flash-thinking-exp-01-21,20,0.1778940858426639,27,0.0236445575115736,-7
o4-mini-2025-04-16,21,0.164759385021614,14,0.2600175890543637,7
gemini-2.5-flash-lite-preview-06-17-thinking,22,0.1528503671086857,25,0.0575464840866223,-3
gemma-3-27b-it,23,0.1167213591282289,24,0.0582876685259409,-1
minimax-m1,24,0.0819273577246169,23,0.0828181335093916,1
qwen3-235b-a22b-instruct-2507,25,0.0612670923761373,28,0.0057775829131892,-3
claude-opus-4-20250514,26,0.0609231780351037,20,0.16003019547471,6
grok-3-mini-beta,27,0.0512292075445413,30,-0.041424050011966,-3
claude-opus-4-20250514-thinking-16k,28,0.0486152383657502,22,0.1417604717003228,6
grok-3-mini-high,29,0.0477829877800282,31,-0.0628124159915357,-2
claude-sonnet-4-20250514-thinking-32k,30,-0.0734655769024498,26,0.0239147081275378,4
gpt-4o-2024-11-20,31,-0.0778689462784749,29,-0.0392971667013837,2
gemini-2.0-flash-001,32,-0.0910990645502898,34,-0.1392348473411324,-2
qwq-32b,33,-0.0999655703367974,36,-0.1493798652436162,-3
mistral-small-2506,34,-0.133250155452303,35,-0.1460089739533106,-1
gpt-4.1-mini-2025-04-14,35,-0.1393802167361387,33,-0.0727439258907195,2
claude-sonnet-4-20250514,36,-0.18584129192567,32,-0.0674870111754388,4
qwen3-30b-a3b,37,-0.196794608956367,38,-0.2229336657478075,-1
command-a-03-2025,38,-0.2148989549422754,37,-0.2116520213543284,1
gemma-3n-e4b-it,39,-0.3291864404123279,43,-0.3735947960353433,-4
amazon-nova-experimental-chat-05-14,40,-0.3292618499781489,44,-0.4072306713079633,-4
o3-mini,41,-0.3431420956625822,42,-0.3359185291205944,-1
llama-4-maverick-17b-128e-instruct,42,-0.4905130420862708,45,-0.4132302552986159,-3
claude-3-7-sonnet-20250219-thinking-32k,43,-0.497748396518782,39,-0.285950957207847,4
claude-3-5-sonnet-20241022,44,-0.5044815447421777,41,-0.3339388979404373,3
claude-3-7-sonnet-20250219,45,-0.5435889140774639,40,-0.3236767593974764,5
llama-4-scout-17b-16e-instruct,46,-0.5482096611927048,46,-0.4647695504605487,0
amazon.nova-pro-v1:0,47,-0.7272142759581567,48,-0.6674664231227161,-1
llama-3.3-70b-instruct,48,-0.7358369635145451,47,-0.6346831756473627,1
mistral-small-3.1-24b-instruct-2503,49,-0.7538678831141203,51,-0.732587514245561,-2
magistral-medium-2506,50,-0.8339281298155878,50,-0.6948235607348336,0
claude-3-5-haiku-20241022,51,-0.8483516096051474,49,-0.6936909105298209,2
gpt-4o-mini-2024-07-18,52,-0.9905390358593288,52,-0.871944451527266,0
