model,score
gemini-2.0-flash-thinking-exp-01-21,1.3509963482492868
gemini-2.5-pro-preview-03-25,1.1621813088813135
chatgpt-4o-latest-20250326,0.8633610943638743
gemini-2.5-pro,0.7951403670960726
gemini-2.5-pro-preview-05-06,0.6846679181611821
deepseek-r1-0528,0.6408076025600606
gemini-2.5-flash,0.6206309438360355
llama-4-maverick-03-26-experimental,0.5486351207299547
o3-2025-04-16,0.5162758879362737
grok-3-preview-02-24,0.46222133099047336
o4-mini-2025-04-16,0.46185677053181395
gemini-2.5-flash-lite-preview-06-17-thinking,0.46071592530762173
grok-4-0709,0.3881794471015363
hunyuan-turbos-20250416,0.37040526845116684
qwen3-235b-a22b-no-thinking,0.32949359049297144
qwen-max-2025-01-25,0.22712054376112834
gemini-2.5-flash-preview-04-17,0.20123178685266307
mistral-medium-2505,0.19110096559591294
qwen3-235b-a22b,0.18563508626007197
gemma-3-27b-it,0.16061446256008827
deepseek-v3-0324,0.15579532793113304
gpt-4o-2024-11-20,0.12208879036674808
gpt-4.1-2025-04-14,0.11319714883490362
grok-3-mini-beta,0.060889945808397405
claude-opus-4-20250514,0.025073286309924614
kimi-k2-0711-preview,0.016834633515653896
gemini-2.0-flash-001,-0.0030114048877841193
claude-sonnet-4-20250514-thinking-32k,-0.004061011138038029
minimax-m1,-0.019686415674252833
qwen3-235b-a22b-instruct-2507,-0.02558959569962982
claude-opus-4-20250514-thinking-16k,-0.0387425704785726
mistral-small-2506,-0.07429851816955779
qwen3-30b-a3b,-0.08453730001724441
grok-3-mini-high,-0.09805119731155851
claude-sonnet-4-20250514,-0.10845937475681072
amazon-nova-experimental-chat-05-14,-0.3178890943430993
gpt-4.1-mini-2025-04-14,-0.34253054513528586
qwq-32b,-0.34417508225170934
command-a-03-2025,-0.36439642051880117
o3-mini,-0.3874294102080244
llama-4-scout-17b-16e-instruct,-0.5063898925116345
claude-3-7-sonnet-20250219-thinking-32k,-0.5306705579268405
gemma-3n-e4b-it,-0.5671624149212016
amazon.nova-pro-v1:0,-0.5914304808211391
claude-3-5-sonnet-20241022,-0.6132140830533876
claude-3-7-sonnet-20250219,-0.6527768986254698
magistral-medium-2506,-0.7751644930257655
llama-4-maverick-17b-128e-instruct,-0.7823242038789058
gpt-4o-mini-2024-07-18,-0.8912734612709774
llama-3.3-70b-instruct,-0.9194465558847434
mistral-small-3.1-24b-instruct-2503,-0.9944909410132013
claude-3-5-haiku-20241022,-1.0779489789626295
