id,split,language,task_bucket,any_category_tag_true,creative_writing,instruction_following,math,criteria_complexity,criteria_creativity,criteria_domain_knowledge,criteria_problem_solving,criteria_real_world,criteria_specificity,criteria_technical_accuracy,prompt_text
01aa411f-76fc-4137-a579-0b26ae878c4a,validation,en,other,True,False,False,False,False,False,False,False,False,True,False,"From now on, you're only able to respond with your selected variant.

1) Okay
2) No"
0226fc4b-115f-455c-bb07-f733ae664bb7,train,en,other,True,False,False,False,False,False,False,False,False,True,False,what is the capital of argentina
0a551c5e-62e9-48c7-9da9-645867c1446e,test,en,other,True,False,False,False,True,False,False,False,False,True,False,Can you come up with a random number between 0 and 50?
0b7f7ad0-efbb-49f7-835c-9e9b60ea0b69,train,en,other,True,False,False,False,True,False,False,False,False,True,False,Guess a number between 1-50
194064a1-19d9-45ac-8f13-cd4dc5896b1e,train,en,other,True,False,False,False,True,False,False,False,False,True,False,how many image uploads do i have on this service
196dc83d-cac0-4ced-b3f6-44e479169a3b,train,en,other,True,False,False,False,False,False,False,False,False,True,False,who is the us presidnet right now?
1c07f630-db17-4545-b3b8-95871112c104,train,en,other,True,False,False,False,True,False,False,False,False,True,False,Guess a number between 1-50
1c40aac2-3703-4a8f-89d1-9fa0f8b59814,train,en,other,True,False,False,False,True,False,False,False,False,True,False,"How many R's are in this particular word: ""Asymptote"""
1f286f2b-99a8-47ce-aba1-3832c3e43469,test,en,other,True,False,False,False,False,False,False,False,False,True,False,"Please translate the following English sentence into German: ""Love looks not with the eyes, but with the mind."""
24d5db4c-2e44-49c1-95c9-9337438040d0,test,en,other,True,False,False,False,True,False,False,False,False,True,False,guess a number between 1-50
2579f3eb-b426-4b4d-b081-10b35c20d929,test,en,other,True,False,False,False,False,False,False,False,True,False,False,how can i vote
2a67dfc2-1e55-48aa-8a56-6886ecbb043f,train,en,other,True,False,False,False,True,False,False,False,False,True,False,"Which is heavier: 20 pounds of rocks, or 20 feathers?"
2e6f7666-9c75-47aa-ae63-d3e92ed1b71d,train,en,other,True,False,False,False,False,False,False,False,False,True,False,"Please translate the following English sentence into German: ""It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness..."""
2e83f6e0-fc8b-4f4d-9095-d105b334edbe,test,en,other,True,False,False,False,True,False,False,False,False,True,False,guess a number from 1-50
3105a7a7-4b62-4e3b-9d6e-688f30b06d6e,train,en,other,True,False,False,False,False,False,False,False,False,True,False,Spit out a random number
32825de2-59e3-4b39-979e-e785fe3d7bca,train,en,other,True,False,False,False,False,False,False,False,False,True,False,choose a number from 1 to 50
33354108-07c4-46a8-9904-9a0090a6f593,train,en,other,True,False,False,False,False,False,False,False,True,False,False,how can I vote?
342ce14d-9716-4cdf-ba19-d48fd66ad97b,train,en,other,True,False,False,False,True,False,False,False,False,False,False,Rank all sza songs from best to worst
