model,score
gemini-2.5-pro,0.9602601889999833
gemini-2.5-pro-preview-03-25,0.7886324863735271
grok-4-0709,0.734513737039375
chatgpt-4o-latest-20250326,0.6428597718797254
gemini-2.5-pro-preview-05-06,0.6196789779958336
deepseek-r1-0528,0.6046882839198497
o3-2025-04-16,0.6030293228534169
grok-3-preview-02-24,0.5659135431059482
llama-4-maverick-03-26-experimental,0.5344734127070855
gemini-2.5-flash,0.49252234379182624
qwen3-235b-a22b-no-thinking,0.3305499481549461
gemini-2.5-flash-preview-04-17,0.2814656760693455
hunyuan-turbos-20250416,0.2673923402484499
gpt-4.1-2025-04-14,0.2433325366953804
deepseek-v3-0324,0.2273128907055566
kimi-k2-0711-preview,0.22536225295469087
qwen3-235b-a22b,0.21750358280042564
qwen-max-2025-01-25,0.19894428098655492
mistral-medium-2505,0.18602839240881963
gemini-2.0-flash-thinking-exp-01-21,0.17789408584266397
o4-mini-2025-04-16,0.16475938502161408
gemini-2.5-flash-lite-preview-06-17-thinking,0.15285036710868571
gemma-3-27b-it,0.11672135912822895
minimax-m1,0.08192735772461698
qwen3-235b-a22b-instruct-2507,0.06126709237613731
claude-opus-4-20250514,0.06092317803510372
grok-3-mini-beta,0.05122920754454133
claude-opus-4-20250514-thinking-16k,0.048615238365750296
grok-3-mini-high,0.047782987780028235
claude-sonnet-4-20250514-thinking-32k,-0.07346557690244984
gpt-4o-2024-11-20,-0.07786894627847495
gemini-2.0-flash-001,-0.09109906455028988
qwq-32b,-0.09996557033679743
mistral-small-2506,-0.13325015545230304
gpt-4.1-mini-2025-04-14,-0.1393802167361387
claude-sonnet-4-20250514,-0.18584129192567003
qwen3-30b-a3b,-0.19679460895636708
command-a-03-2025,-0.2148989549422754
gemma-3n-e4b-it,-0.3291864404123279
amazon-nova-experimental-chat-05-14,-0.3292618499781489
o3-mini,-0.34314209566258225
llama-4-maverick-17b-128e-instruct,-0.49051304208627083
claude-3-7-sonnet-20250219-thinking-32k,-0.49774839651878205
claude-3-5-sonnet-20241022,-0.5044815447421777
claude-3-7-sonnet-20250219,-0.5435889140774639
llama-4-scout-17b-16e-instruct,-0.5482096611927048
amazon.nova-pro-v1:0,-0.7272142759581567
llama-3.3-70b-instruct,-0.7358369635145451
mistral-small-3.1-24b-instruct-2503,-0.7538678831141203
magistral-medium-2506,-0.8339281298155878
claude-3-5-haiku-20241022,-0.8483516096051474
gpt-4o-mini-2024-07-18,-0.9905390358593289
