model,score
gemini-2.5-pro,0.818429190333499
gemini-2.5-pro-preview-03-25,0.6733903863708577
o3-2025-04-16,0.672998776870799
chatgpt-4o-latest-20250326,0.6440786978218742
grok-4-0709,0.626364282214922
deepseek-r1-0528,0.4962309612230789
gemini-2.5-pro-preview-05-06,0.4897027745173182
grok-3-preview-02-24,0.40843523332628634
gemini-2.5-flash,0.3383195955434614
llama-4-maverick-03-26-experimental,0.3314965424298601
kimi-k2-0711-preview,0.32408781075335136
qwen3-235b-a22b-no-thinking,0.3117802637697645
gpt-4.1-2025-04-14,0.28398051932721113
o4-mini-2025-04-16,0.26001758904946654
hunyuan-turbos-20250416,0.23572865737623844
deepseek-v3-0324,0.2311099817199122
qwen3-235b-a22b,0.1844779973126498
gemini-2.5-flash-preview-04-17,0.18047298958862634
mistral-medium-2505,0.16779677377965108
claude-opus-4-20250514,0.16003019547408898
qwen-max-2025-01-25,0.15380157079608026
claude-opus-4-20250514-thinking-16k,0.14176047169668154
minimax-m1,0.08281813350954728
gemma-3-27b-it,0.05828766852285916
gemini-2.5-flash-lite-preview-06-17-thinking,0.05754648409042376
claude-sonnet-4-20250514-thinking-32k,0.023914708125043038
gemini-2.0-flash-thinking-exp-01-21,0.023644557472774275
qwen3-235b-a22b-instruct-2507,0.00577758298035172
gpt-4o-2024-11-20,-0.03929716672154489
grok-3-mini-beta,-0.041424050010211905
grok-3-mini-high,-0.06281241599679836
claude-sonnet-4-20250514,-0.06748701117712802
gpt-4.1-mini-2025-04-14,-0.07274392589148107
gemini-2.0-flash-001,-0.13923484734040953
mistral-small-2506,-0.14600897395560106
qwq-32b,-0.14937986522800734
command-a-03-2025,-0.21165202135358507
qwen3-30b-a3b,-0.22293366574843182
claude-3-7-sonnet-20250219-thinking-32k,-0.28595095721202
claude-3-7-sonnet-20250219,-0.3236767594008989
claude-3-5-sonnet-20241022,-0.33393889794138965
o3-mini,-0.33591852911862796
gemma-3n-e4b-it,-0.3735947960491919
amazon-nova-experimental-chat-05-14,-0.40723067130397855
llama-4-maverick-17b-128e-instruct,-0.4132302553015229
llama-4-scout-17b-16e-instruct,-0.4647695504739424
llama-3.3-70b-instruct,-0.6346831756454583
amazon.nova-pro-v1:0,-0.6674664231214738
claude-3-5-haiku-20241022,-0.6936909105323803
magistral-medium-2506,-0.6948235607236439
mistral-small-3.1-24b-instruct-2503,-0.7325875142603158
gpt-4o-mini-2024-07-18,-0.8719444514886348
