model,score
gemini-2.5-pro,0.8184291903315593
gemini-2.5-pro-preview-03-25,0.6733903863942478
o3-2025-04-16,0.6729987768696631
chatgpt-4o-latest-20250326,0.6440786978242277
grok-4-0709,0.6263642821764035
deepseek-r1-0528,0.49623096122348065
gemini-2.5-pro-preview-05-06,0.489702774537058
grok-3-preview-02-24,0.40843523332470444
gemini-2.5-flash,0.33831959554729074
llama-4-maverick-03-26-experimental,0.3314965424259292
kimi-k2-0711-preview,0.32408781075700266
qwen3-235b-a22b-no-thinking,0.3117802637672574
gpt-4.1-2025-04-14,0.28398051933118895
o4-mini-2025-04-16,0.2600175890543637
hunyuan-turbos-20250416,0.23572865736344087
deepseek-v3-0324,0.2311099817213553
qwen3-235b-a22b,0.18447799730844708
gemini-2.5-flash-preview-04-17,0.1804729895896934
mistral-medium-2505,0.16779677377936533
claude-opus-4-20250514,0.16003019547471
qwen-max-2025-01-25,0.1538015708116581
claude-opus-4-20250514-thinking-16k,0.14176047170032288
minimax-m1,0.08281813350939166
gemma-3-27b-it,0.05828766852594097
gemini-2.5-flash-lite-preview-06-17-thinking,0.057546484086622385
claude-sonnet-4-20250514-thinking-32k,0.023914708127537876
gemini-2.0-flash-thinking-exp-01-21,0.0236445575115736
qwen3-235b-a22b-instruct-2507,0.00577758291318925
gpt-4o-2024-11-20,-0.03929716670138379
grok-3-mini-beta,-0.041424050011966
grok-3-mini-high,-0.06281241599153571
claude-sonnet-4-20250514,-0.06748701117543889
gpt-4.1-mini-2025-04-14,-0.0727439258907195
gemini-2.0-flash-001,-0.1392348473411324
mistral-small-2506,-0.14600897395331067
qwq-32b,-0.1493798652436162
command-a-03-2025,-0.21165202135432845
qwen3-30b-a3b,-0.22293366574780754
claude-3-7-sonnet-20250219-thinking-32k,-0.285950957207847
claude-3-7-sonnet-20250219,-0.3236767593974764
claude-3-5-sonnet-20241022,-0.3339388979404373
o3-mini,-0.3359185291205944
gemma-3n-e4b-it,-0.3735947960353433
amazon-nova-experimental-chat-05-14,-0.4072306713079633
llama-4-maverick-17b-128e-instruct,-0.4132302552986159
llama-4-scout-17b-16e-instruct,-0.4647695504605487
llama-3.3-70b-instruct,-0.6346831756473627
amazon.nova-pro-v1:0,-0.6674664231227161
claude-3-5-haiku-20241022,-0.6936909105298209
magistral-medium-2506,-0.6948235607348336
mistral-small-3.1-24b-instruct-2503,-0.732587514245561
gpt-4o-mini-2024-07-18,-0.871944451527266
