model,score
gemini-2.5-pro,0.8187222047453852
gemini-2.5-pro-preview-03-25,0.673630595664634
o3-2025-04-16,0.6729619298778892
chatgpt-4o-latest-20250326,0.6440541699460203
grok-4-0709,0.6276770222248446
deepseek-r1-0528,0.4961478569691159
gemini-2.5-pro-preview-05-06,0.4914521804979428
grok-3-preview-02-24,0.4076845288833306
gemini-2.5-flash,0.3382134399114284
llama-4-maverick-03-26-experimental,0.3315750663214595
kimi-k2-0711-preview,0.3236737780227295
qwen3-235b-a22b-no-thinking,0.31202058658786014
gpt-4.1-2025-04-14,0.2843728686561591
o4-mini-2025-04-16,0.25990502051385617
hunyuan-turbos-20250416,0.23648094552246018
deepseek-v3-0324,0.23039866373174472
qwen3-235b-a22b,0.1841405797641218
gemini-2.5-flash-preview-04-17,0.1798947620968976
mistral-medium-2505,0.16821978735760068
claude-opus-4-20250514,0.15966394992575755
qwen-max-2025-01-25,0.15422121570086678
claude-opus-4-20250514-thinking-16k,0.14135018225717305
minimax-m1,0.08314972574258447
gemma-3-27b-it,0.05828347052807184
gemini-2.5-flash-lite-preview-06-17-thinking,0.05633879629947933
claude-sonnet-4-20250514-thinking-32k,0.02477629933979994
gemini-2.0-flash-thinking-exp-01-21,0.023171567211217964
qwen3-235b-a22b-instruct-2507,0.009504342683001238
gpt-4o-2024-11-20,-0.03908436185577217
grok-3-mini-beta,-0.041560598685382366
grok-3-mini-high,-0.06304503913235761
claude-sonnet-4-20250514,-0.06768796143668883
gpt-4.1-mini-2025-04-14,-0.07305631897467647
gemini-2.0-flash-001,-0.13896734505374247
mistral-small-2506,-0.14572559011945851
qwq-32b,-0.14924087250563833
command-a-03-2025,-0.21171659672552967
qwen3-30b-a3b,-0.22321026562041557
claude-3-7-sonnet-20250219-thinking-32k,-0.28638236828252667
claude-3-7-sonnet-20250219,-0.3239151521037948
claude-3-5-sonnet-20241022,-0.33413533507305904
o3-mini,-0.33532764702943896
gemma-3n-e4b-it,-0.37380501677416655
amazon-nova-experimental-chat-05-14,-0.40696088673083564
llama-4-maverick-17b-128e-instruct,-0.41409634514358806
llama-4-scout-17b-16e-instruct,-0.46394759741244584
llama-3.3-70b-instruct,-0.6353475946610123
amazon.nova-pro-v1:0,-0.6676135468200415
claude-3-5-haiku-20241022,-0.693813169356877
magistral-medium-2506,-0.6960641170297077
mistral-small-3.1-24b-instruct-2503,-0.7314049967530973
gpt-4o-mini-2024-07-18,-0.8755768137031792
