model,score
gemini-2.5-pro,0.7873071947744784
o3-2025-04-16,0.7184480970424817
gemini-2.5-pro-preview-03-25,0.6783966655524948
grok-4-0709,0.635366115789715
chatgpt-4o-latest-20250326,0.6108472190065728
gemini-2.5-pro-preview-05-06,0.5471531124641782
deepseek-r1-0528,0.45818248288314933
grok-3-preview-02-24,0.37618975259796783
gemini-2.5-flash,0.352030090885021
kimi-k2-0711-preview,0.33235940380530193
o4-mini-2025-04-16,0.3286087377269138
gpt-4.1-2025-04-14,0.267650329603793
qwen3-235b-a22b-no-thinking,0.26263423931541674
gemini-2.5-flash-preview-04-17,0.2542339815991206
claude-opus-4-20250514,0.21698405400671042
deepseek-v3-0324,0.20240184509763956
llama-4-maverick-03-26-experimental,0.197337317767972
claude-opus-4-20250514-thinking-16k,0.19696853820516844
hunyuan-turbos-20250416,0.1887383563295024
mistral-medium-2505,0.12601880746280159
qwen3-235b-a22b,0.11991401944531846
gemini-2.5-flash-lite-preview-06-17-thinking,0.10988645679054901
qwen-max-2025-01-25,0.10378714788654836
claude-sonnet-4-20250514-thinking-32k,0.07792813197932152
gemma-3-27b-it,0.04753096635856721
minimax-m1,0.04335132466697855
grok-3-mini-beta,0.020217348076218306
grok-3-mini-high,-0.0023111608627217756
claude-sonnet-4-20250514,-0.010141208037216201
gemini-2.0-flash-thinking-exp-01-21,-0.016085135479620344
gpt-4.1-mini-2025-04-14,-0.03177567547981855
gpt-4o-2024-11-20,-0.10679422555367671
qwen3-235b-a22b-instruct-2507,-0.11102642020075809
qwq-32b,-0.11987377645100902
gemini-2.0-flash-001,-0.14385721133859752
mistral-small-2506,-0.20361270631199102
command-a-03-2025,-0.21780693104005347
claude-3-7-sonnet-20250219-thinking-32k,-0.26834807827336904
claude-3-5-sonnet-20241022,-0.2683887807497175
o3-mini,-0.2777251376680462
claude-3-7-sonnet-20250219,-0.3114793779373827
qwen3-30b-a3b,-0.3423251054294527
llama-4-maverick-17b-128e-instruct,-0.35330079289226296
gemma-3n-e4b-it,-0.3786557509327456
llama-4-scout-17b-16e-instruct,-0.41687191861981643
amazon-nova-experimental-chat-05-14,-0.4183845031801129
llama-3.3-70b-instruct,-0.5682549064225003
claude-3-5-haiku-20241022,-0.623622720205325
amazon.nova-pro-v1:0,-0.6458377176055335
magistral-medium-2506,-0.6488686183752688
mistral-small-3.1-24b-instruct-2503,-0.7231401157865045
gpt-4o-mini-2024-07-18,-1.0519837622864001
