model,score
gemini-2.0-flash-thinking-exp-01-21,1.3515609144777199
gemini-2.5-pro-preview-03-25,1.0465706565788766
chatgpt-4o-latest-20250326,0.8677083136743059
gemini-2.5-pro,0.6877291310482768
deepseek-r1-0528,0.576937620322017
gemini-2.5-pro-preview-05-06,0.5423045605703163
o3-2025-04-16,0.5010110040258912
o4-mini-2025-04-16,0.48473705388842425
gemini-2.5-flash,0.4833553281513626
llama-4-maverick-03-26-experimental,0.4234720554763006
gemini-2.5-flash-lite-preview-06-17-thinking,0.3687029618014839
hunyuan-turbos-20250416,0.33665895490567166
grok-3-preview-02-24,0.3315207024087832
qwen3-235b-a22b-no-thinking,0.3240134649204728
grok-4-0709,0.32254678120385916
qwen-max-2025-01-25,0.19681578212997608
mistral-medium-2505,0.18443601851511793
deepseek-v3-0324,0.18183951934538967
qwen3-235b-a22b,0.1759264902806179
gpt-4.1-2025-04-14,0.16642220186988865
gpt-4o-2024-11-20,0.1373951207454744
gemma-3-27b-it,0.12951494284668236
gemini-2.5-flash-preview-04-17,0.10342192369989528
claude-opus-4-20250514,0.09733503120350301
kimi-k2-0711-preview,0.08761097787020744
claude-sonnet-4-20250514-thinking-32k,0.05413335855261048
claude-opus-4-20250514-thinking-16k,0.046217210975795175
qwen3-235b-a22b-instruct-2507,0.03298706419222752
grok-3-mini-beta,0.023048635773192272
minimax-m1,-0.011400398571065173
claude-sonnet-4-20250514,-0.03545555386272936
gemini-2.0-flash-001,-0.03558212250894405
qwen3-30b-a3b,-0.07220814979291734
mistral-small-2506,-0.09927370563527635
grok-3-mini-high,-0.20549917428033856
gpt-4.1-mini-2025-04-14,-0.2812113352324133
command-a-03-2025,-0.3394742652027289
qwq-32b,-0.34840689140714176
o3-mini,-0.3809822265049041
amazon-nova-experimental-chat-05-14,-0.38101316243803385
llama-4-scout-17b-16e-instruct,-0.4189421459603816
claude-3-7-sonnet-20250219-thinking-32k,-0.4572412866886129
claude-3-5-sonnet-20241022,-0.4787028269883785
amazon.nova-pro-v1:0,-0.50528827523514
claude-3-7-sonnet-20250219,-0.5438730716281082
gemma-3n-e4b-it,-0.5968209983824662
llama-4-maverick-17b-128e-instruct,-0.7346545229665946
magistral-medium-2506,-0.7766746654713724
gpt-4o-mini-2024-07-18,-0.7814458311443648
llama-3.3-70b-instruct,-0.849880425804633
claude-3-5-haiku-20241022,-0.9506249072513523
mistral-small-3.1-24b-instruct-2503,-0.9812778384964352
