model,score
gemini-2.5-pro,0.8422138683099542
gemini-2.5-pro-preview-03-25,0.7007461661135777
chatgpt-4o-latest-20250326,0.6611435994314867
grok-4-0709,0.6303580124141228
o3-2025-04-16,0.5882048155471767
deepseek-r1-0528,0.5360698451384831
gemini-2.5-pro-preview-05-06,0.5118931451712287
grok-3-preview-02-24,0.41545631425516216
llama-4-maverick-03-26-experimental,0.370620027956038
gemini-2.5-flash,0.3570803716917269
qwen3-235b-a22b-no-thinking,0.33218587330668636
gpt-4.1-2025-04-14,0.29808428553212996
kimi-k2-0711-preview,0.29200010065955107
deepseek-v3-0324,0.2654401531649335
hunyuan-turbos-20250416,0.24998589989776196
o4-mini-2025-04-16,0.21594879031640965
qwen3-235b-a22b,0.21067205264113684
mistral-medium-2505,0.20363216366979017
gemini-2.5-flash-preview-04-17,0.19727632453599367
qwen-max-2025-01-25,0.16960336079840485
claude-opus-4-20250514,0.13421310802489514
claude-opus-4-20250514-thinking-16k,0.11741690003012342
minimax-m1,0.10214443072602794
gemma-3-27b-it,0.08007923549440166
gemini-2.5-flash-lite-preview-06-17-thinking,0.07350576517260904
gemini-2.0-flash-thinking-exp-01-21,0.050032700405821334
qwen3-235b-a22b-instruct-2507,0.030262035727333852
claude-sonnet-4-20250514-thinking-32k,0.00020572858994789833
grok-3-mini-beta,-0.030545348136635564
gpt-4o-2024-11-20,-0.04651592463269007
grok-3-mini-high,-0.05782318706518211
gpt-4.1-mini-2025-04-14,-0.07164334431582729
claude-sonnet-4-20250514,-0.10132326728853615
mistral-small-2506,-0.10657532113808653
qwq-32b,-0.12121101488637645
gemini-2.0-flash-001,-0.13489105394038978
command-a-03-2025,-0.1865796941863832
qwen3-30b-a3b,-0.20211130874673758
o3-mini,-0.32971568807533325
gemma-3n-e4b-it,-0.34719945939740215
amazon-nova-experimental-chat-05-14,-0.36581228635578944
claude-3-5-sonnet-20241022,-0.38248106264143955
claude-3-7-sonnet-20250219-thinking-32k,-0.38889244842594195
llama-4-maverick-17b-128e-instruct,-0.4280359452293818
claude-3-7-sonnet-20250219,-0.4308962040740446
llama-4-scout-17b-16e-instruct,-0.467727330115304
llama-3.3-70b-instruct,-0.6600033044669391
amazon.nova-pro-v1:0,-0.6618561987697471
mistral-small-3.1-24b-instruct-2503,-0.7251180602913055
claude-3-5-haiku-20241022,-0.7260171586618684
magistral-medium-2506,-0.7667023793615583
gpt-4o-mini-2024-07-18,-0.8967980845200151
