model,score
gemini-2.5-pro,0.8357162130464263
gemini-2.5-pro-preview-03-25,0.7002336633703058
chatgpt-4o-latest-20250326,0.6627436535898884
grok-4-0709,0.6277914897904738
o3-2025-04-16,0.5867041914790057
deepseek-r1-0528,0.5302873048828096
gemini-2.5-pro-preview-05-06,0.5090660731698874
grok-3-preview-02-24,0.4072466662874862
llama-4-maverick-03-26-experimental,0.35882579138407766
gemini-2.5-flash,0.35299700843492254
qwen3-235b-a22b-no-thinking,0.3315425556195112
gpt-4.1-2025-04-14,0.3018758048215401
kimi-k2-0711-preview,0.2947498745217654
deepseek-v3-0324,0.26536400220225953
hunyuan-turbos-20250416,0.24836209169932447
o4-mini-2025-04-16,0.21748410015171135
qwen3-235b-a22b,0.2085481441029545
mistral-medium-2505,0.2045216798882554
gemini-2.5-flash-preview-04-17,0.1947684865582995
qwen-max-2025-01-25,0.1660266741830084
claude-opus-4-20250514,0.13942575137607296
claude-opus-4-20250514-thinking-16k,0.12315426877575214
minimax-m1,0.10201899803815226
gemma-3-27b-it,0.07733442080527411
gemini-2.5-flash-lite-preview-06-17-thinking,0.07104208519264979
gemini-2.0-flash-thinking-exp-01-21,0.04517797401661547
qwen3-235b-a22b-instruct-2507,0.02529109378713859
claude-sonnet-4-20250514-thinking-32k,0.008047641899524116
grok-3-mini-beta,-0.034534259161515146
gpt-4o-2024-11-20,-0.042110589950708446
grok-3-mini-high,-0.06131419268602012
gpt-4.1-mini-2025-04-14,-0.06875658575388097
claude-sonnet-4-20250514,-0.09564174550711373
mistral-small-2506,-0.10563712040914103
qwq-32b,-0.12377705789307444
gemini-2.0-flash-001,-0.13581909021778518
command-a-03-2025,-0.1857431433775981
qwen3-30b-a3b,-0.20424541781626915
o3-mini,-0.32793382711389263
gemma-3n-e4b-it,-0.35181046015208717
amazon-nova-experimental-chat-05-14,-0.36775353723398996
claude-3-5-sonnet-20241022,-0.3762551199384264
claude-3-7-sonnet-20250219-thinking-32k,-0.38086194800107187
claude-3-7-sonnet-20250219,-0.4246092761544402
llama-4-maverick-17b-128e-instruct,-0.4272975143852835
llama-4-scout-17b-16e-instruct,-0.46729459602674106
llama-3.3-70b-instruct,-0.6590912056623687
amazon.nova-pro-v1:0,-0.6607287817012242
claude-3-5-haiku-20241022,-0.7198354741848941
mistral-small-3.1-24b-instruct-2503,-0.7221223871519422
magistral-medium-2506,-0.7595196410814378
gpt-4o-mini-2024-07-18,-0.8936547315141866
