model,score
gemini-2.5-pro,0.8141070276088308
o3-2025-04-16,0.67327524564331
gemini-2.5-pro-preview-03-25,0.6724173831583111
chatgpt-4o-latest-20250326,0.6451959929296189
grok-4-0709,0.6233203152109611
deepseek-r1-0528,0.493054152837474
gemini-2.5-pro-preview-05-06,0.4875215610310645
grok-3-preview-02-24,0.40059717324042543
gemini-2.5-flash,0.3346459912871095
kimi-k2-0711-preview,0.3266768974219668
llama-4-maverick-03-26-experimental,0.32456460917178587
qwen3-235b-a22b-no-thinking,0.3100751433207397
gpt-4.1-2025-04-14,0.28655973739858986
o4-mini-2025-04-16,0.26183685211141583
hunyuan-turbos-20250416,0.23372186643267226
deepseek-v3-0324,0.23132533828338178
qwen3-235b-a22b,0.18262255901181437
gemini-2.5-flash-preview-04-17,0.17759356930658113
mistral-medium-2505,0.16837121460279622
claude-opus-4-20250514,0.16366718794784244
qwen-max-2025-01-25,0.15013342961363127
claude-opus-4-20250514-thinking-16k,0.14567666129725068
minimax-m1,0.08182934867522251
gemma-3-27b-it,0.05741419776091958
gemini-2.5-flash-lite-preview-06-17-thinking,0.055669242908679695
claude-sonnet-4-20250514-thinking-32k,0.029172216210718777
gemini-2.0-flash-thinking-exp-01-21,0.02304605376436364
qwen3-235b-a22b-instruct-2507,0.005927555563226716
gpt-4o-2024-11-20,-0.039739225253951904
grok-3-mini-beta,-0.044495238157644015
claude-sonnet-4-20250514,-0.06363116934366134
grok-3-mini-high,-0.06645773286162443
gpt-4.1-mini-2025-04-14,-0.07239465806432831
gemini-2.0-flash-001,-0.14049811007320082
mistral-small-2506,-0.14533948240381783
qwq-32b,-0.15004029293506513
command-a-03-2025,-0.2112872418201169
qwen3-30b-a3b,-0.22492909093179952
claude-3-7-sonnet-20250219-thinking-32k,-0.27868022663846437
claude-3-7-sonnet-20250219,-0.31692441823130507
claude-3-5-sonnet-20241022,-0.32923173335729156
o3-mini,-0.3352293515636236
gemma-3n-e4b-it,-0.3769845395636597
amazon-nova-experimental-chat-05-14,-0.4067311113284341
llama-4-maverick-17b-128e-instruct,-0.4131509347103215
llama-4-scout-17b-16e-instruct,-0.4642817827034914
llama-3.3-70b-instruct,-0.6343653451369515
amazon.nova-pro-v1:0,-0.665434963888512
magistral-medium-2506,-0.6875304510108631
claude-3-5-haiku-20241022,-0.6886415050107016
mistral-small-3.1-24b-instruct-2503,-0.7287981032251506
gpt-4o-mini-2024-07-18,-0.875221815536724
